nzseg_v3,catchment_area,grid_area,grid_coverage
15301916,4060032.0,0.0,0.0
15282084,35520.0,0.0,0.0
15303548,969088.0,0.0,0.0
15249372,2596032.0,0.0,0.0
15357085,301632.0,0.0,0.0
15357093,5710400.0,0.0,0.0
15374749,3539072.0,54865.43691229,0.01550277
15369877,6016832.0,175329.97051226,0.02913991
15377325,2685248.0,1577151.05028722,0.58733907
15311181,1196736.0,5334.19971209,0.00445729
15284268,3070592.0,3070592.0,1.0
15218868,526272.0,526272.0,1.0
15380613,3652416.0,3652416.0,1.0
15357957,3530240.0,3530240.0,1.0
15336292,880128.0,700229.18240014,0.79559926
15287588,3940928.0,3772734.82421507,0.95732143
15376117,8513408.0,0.0,0.0
15329389,2280064.0,0.0,0.0
15294580,2991936.0,1997834.98299968,0.66773988
15255620,1092672.0,1092672.0,1.0
15298692,1919168.0,0.0,0.0
15293996,22848.0,0.0,0.0
15425606,190400.0,190400.0,1.0
15425614,35008.0,35008.0,1.0
15365645,86720.0,86720.0,1.0
15333733,2548736.0,1223511.14299941,0.48004624
15302108,7509824.0,0.0,0.0
15263108,1748352.0,0.0,0.0
15346101,18240.0,18240.0,1.0
15344429,2278976.0,569095.98291204,0.24971565
15365973,43840.0,43840.0,1.0
15354669,5406016.0,2904561.92511194,0.53728326
15372117,2698880.0,0.0,0.0
15354349,4798976.0,0.0,0.0
15373957,9809344.0,1113536.83388733,0.11351797
15372405,3871488.0,2267752.04619948,0.58575722
15117124,14782272.0,11145623.00450275,0.75398579
15189564,2295424.0,2295424.0,1.0
15215044,622720.0,622720.0,1.0
15359133,12774400.0,5644502.65828933,0.44186049
15351301,5107072.0,846014.46179999,0.16565548
15301724,2287552.0,0.0,0.0
15287836,810048.0,0.0,0.0
15311780,39872.0,39872.0,1.0
15255588,1961664.0,1961664.0,1.0
15364429,9862272.0,5950027.41899863,0.60331204
15363893,1037696.0,810839.12508767,0.78138407
15356805,70848.0,0.0,0.0
15351813,5403328.0,0.0,0.0
15129492,3297344.0,2529723.70399965,0.76720042
15271268,1457024.0,1324951.15199974,0.90935438
15369773,3233920.0,2333844.53999962,0.72167665
15310461,1197376.0,1196397.00799999,0.99918239
15297636,158464.0,158464.0,1.0
15290308,3645888.0,694154.41020023,0.19039378
15304884,1612032.0,1612032.0,1.0
15272372,2382400.0,2382400.0,1.0
15311452,2352128.0,2335989.47415151,0.99313876
15305324,629952.0,629952.0,1.0
15367165,545728.0,545728.0,1.0
15309181,1204352.0,1178658.23388778,0.9786659
15374189,1949632.0,1949632.0,1.0
15365557,4385728.0,4385728.0,1.0
15365061,1367616.0,1302957.47060013,0.95272172
15348837,2102272.0,1878036.35599982,0.89333652
15302524,3236416.0,2542513.73299941,0.78559547
15272036,1634304.0,1634304.0,1.0
15359501,3663552.0,21030.05551215,0.00574035
15346997,3705152.0,106640.14608821,0.02878158
15363277,803904.0,796737.95679998,0.99108595
15341165,571136.0,549848.04711209,0.962727
15365677,3084672.0,2523649.12839964,0.8181256
15352013,4528768.0,3755843.63671125,0.8293301
15365357,6924416.0,0.0,0.0
15301525,855168.0,0.0,0.0
15290692,8860672.0,1030045.4374885,0.11624913
15279996,3599168.0,1899072.18699996,0.527642
15361189,353600.0,353600.0,1.0
15305061,1474688.0,663044.85399967,0.44961704
15287772,683968.0,683968.0,1.0
15297668,5414848.0,1622766.30399948,0.29968825
15395222,2086912.0,1241164.23311179,0.59473722
15330374,962240.0,962240.0,1.0
15300364,177600.0,177600.0,1.0
15275284,2982976.0,588320.93499976,0.19722617
15362829,535488.0,0.0,0.0
15297341,1346816.0,0.0,0.0
15287644,53504.0,0.0,0.0
15255972,2397952.0,0.0,0.0
15354517,153408.0,153408.0,1.0
15358413,3998912.0,1228802.79699942,0.30728428
15342125,7268928.0,0.0,0.0
15353093,4085952.0,0.0,0.0
15289964,5776320.0,0.0,0.0
15294020,5595968.0,0.0,0.0
