basarea,uparea,rchindex,rchid,dsrch_nrch,dsrch_rchid,start_lat,end_lat,start_lon,end_lon,numuprch,uprch_nrch1,uprch_nrch2,uprch_nrch3,uprch_nrch4,uprch_nrch5,uprch_nrch6,uprch_nrch7,uprch_nrch8,uprch_nrch9,uprch_nrch10,uprch_rchid1,uprch_rchid2,uprch_rchid3,uprch_rchid4,uprch_rchid5,uprch_rchid6,uprch_rchid7,uprch_rchid8,uprch_rchid9,uprch_rchid10,rchslope,rchman_n,rchwidth,rchlength,,,
162048,879057000,39,15438598,37,15438630,-46.146,-46.148,168.009,168.006,2,41,42,-999,-999,-999,-999,-999,-999,-999,-999,15438486,15337846,-999,-999,-999,-999,-999,-999,-999,-999,0.0024,0.024,47.55,357,,,
491200,274787000,40,15061126,37,15438630,-46.142,-46.148,167.994,168.006,2,110,111,-999,-999,-999,-999,-999,-999,-999,-999,15331422,15315870,-999,-999,-999,-999,-999,-999,-999,-999,0.0072,0.024,26.03,1818,,,
1022976,877506000,41,15438486,39,15438598,-46.135,-46.146,168.004,168.009,2,43,44,-999,-999,-999,-999,-999,-999,-999,-999,15438390,15260262,-999,-999,-999,-999,-999,-999,-999,-999,0.0021,0.024,47.51,1735,,,
1388544,1389000,42,15337846,39,15438598,-46.154,-46.146,168.02,168.009,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0166,0.024,1.68,369,,,
961664,876199000,43,15438390,41,15438486,-46.127,-46.135,167.997,168.004,2,45,46,-999,-999,-999,-999,-999,-999,-999,-999,15438286,15316342,-999,-999,-999,-999,-999,-999,-999,-999,0.0087,0.024,47.47,1280,,,
283584,284000,44,15260262,41,15438486,-46.132,-46.135,168.01,168.004,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0237,0.024,0.74,253,,,
277824,874406000,45,15438286,43,15438390,-46.125,-46.127,168,167.997,3,47,48,49,-999,-999,-999,-999,-999,-999,-999,15438222,15045574,15307190,-999,-999,-999,-999,-999,-999,-999,0.0059,0.024,47.42,347,,,
831232,831000,46,15316342,43,15438390,-46.128,-46.127,167.985,167.997,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0136,0.024,1.29,854,,,
777664,851981000,47,15438222,45,15438286,-46.12,-46.125,168.012,168,2,50,51,-999,-999,-999,-999,-999,-999,-999,-999,15438102,15318382,-999,-999,-999,-999,-999,-999,-999,-999,0.0031,0.024,46.79,1232,,,
1123456,21517000,48,15045574,45,15438286,-46.127,-46.125,168.022,168,2,290,291,-999,-999,-999,-999,-999,-999,-999,-999,15425606,15425614,-999,-999,-999,-999,-999,-999,-999,-999,0.0048,0.024,6.96,1936,,,
630912,631000,49,15307190,45,15438286,-46.116,-46.125,168,168,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.017,0.024,1.12,565,,,
862848,850679000,50,15438102,47,15438222,-46.114,-46.12,168.018,168.012,2,52,53,-999,-999,-999,-999,-999,-999,-999,-999,15437982,15425670,-999,-999,-999,-999,-999,-999,-999,-999,0.0029,0.024,46.75,958,,,
523968,524000,51,15318382,47,15438222,-46.109,-46.12,168.008,168.012,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0056,0.024,1.02,997,,,
3284416,839937000,52,15437982,50,15438102,-46.093,-46.114,168.056,168.018,2,54,55,-999,-999,-999,-999,-999,-999,-999,-999,15423798,15437174,-999,-999,-999,-999,-999,-999,-999,-999,0.0029,0.024,46.44,4594,,,
2957120,9879000,53,15425670,50,15438102,-46.101,-46.114,168.067,168.018,2,429,430,-999,-999,-999,-999,-999,-999,-999,-999,15424494,15326390,-999,-999,-999,-999,-999,-999,-999,-999,0.0029,0.024,4.65,4696,,,
6040320,828793000,54,15423798,52,15437982,-46.043,-46.093,168.109,168.056,2,56,57,-999,-999,-999,-999,-999,-999,-999,-999,15387125,15375381,-999,-999,-999,-999,-999,-999,-999,-999,0.0027,0.024,46.12,8974,,,
792384,7860000,55,15437174,52,15437982,-46.079,-46.093,168.072,168.056,2,423,424,-999,-999,-999,-999,-999,-999,-999,-999,15436686,15420278,-999,-999,-999,-999,-999,-999,-999,-999,0.0038,0.024,4.13,2201,,,
1059584,818144000,56,15387125,54,15423798,-46.036,-46.043,168.114,168.109,2,58,59,-999,-999,-999,-999,-999,-999,-999,-999,15386709,15361669,-999,-999,-999,-999,-999,-999,-999,-999,0.0043,0.024,45.81,1144,,,
